Gap,Rotation,freq (GHz)Freq,VSWR,S11dB,S21dB,S11,S21
2.8,70,3.335,7.750140099,-2.254044398,-4.251101626,-0.7628457583845362-0.1147782039273746i,-0.027854205498390405-0.6123448580589512i
2.8,70,3.34,7.774239382,-2.24697879,-4.262213969,-0.7646791315524615-0.10650113293556833i,-0.03490879269751822-0.6111982259693403i
2.8,70,3.345,7.79834783,-2.239954923,-4.273318512,-0.7664184848206055-0.0982048346451735i,-0.04193390445303796-0.6099724431080779i
2.8,70,3.35,7.822475277,-2.232969589,-4.284420535,-0.768064087093712-0.08988946135450167i,-0.04892964236959456-0.6086676618739414i
2.8,70,3.355,7.846631878,-2.226019563,-4.295525368,-0.7696161818471816-0.08155514076140088i,-0.0558960967060412-0.6072839975607454i
2.8,70,3.36,7.870828096,-2.219101609,-4.306638387,-0.7710749858031659-0.07320197737605016i,-0.06283334433167602-0.605821529317202i
2.8,70,3.365,7.895074693,-2.212212482,-4.317765009,-0.7724406876738206-0.06483005400227292i,-0.06974144674465349-0.6042803012082045i
2.8,70,3.37,7.919382716,-2.205348936,-4.328910687,-0.7737134469753818-0.05643943328411536i,-0.07662044815769989-0.6026603233735875i
2.8,70,3.375,7.943763483,-2.198507725,-4.340080905,-0.7748933929166096-0.04803015931422467i,-0.08347037365600407-0.6009615732801572i
2.8,70,3.38,7.968228579,-2.191685609,-4.35128117,-0.7759806233649221-0.03960225930036003i,-0.09029122743188238-0.5991839970625182i
2.8,70,3.385,7.992789842,-2.184879358,-4.36251701,-0.7769752038933752-0.031155745286179124i,-0.09708299110052805-0.5973275109479922i
2.8,70,3.39,8.017459355,-2.178085752,-4.373793964,-0.7778771669114322-0.0226906159222603i,-0.10384562210085904-0.5953920027607228i
2.8,70,3.395,8.042249444,-2.171301587,-4.385117575,-0.77868651088225-0.014206858283153273i,-0.11057905218516466-0.5933773334998362i
2.8,70,3.4,8.067172666,-2.164523678,-4.396493383,-0.779403199628985-0.005704449726094071i,-0.11728318600093447-0.5912833389863851i
2.8,70,3.405,8.092241811,-2.157748858,-4.407926917,-0.7800271617323827+0.002816640213123313i,-0.12395789976792257-0.5891098315736163i
2.8,70,3.41,8.117469893,-2.150973983,-4.419423687,-0.7805582900216753+0.011356447891755874i,-0.13060304005316592-0.5868566019150002i
2.8,70,3.415,8.142870153,-2.144195932,-4.430989173,-0.7809964411605642+0.019915013603953938i,-0.13721842264633646-0.5845234207843295i
2.8,70,3.42,8.168456058,-2.137411609,-4.442628821,-0.7813414353297853+0.02849237960169003i,-0.14380383153745996-0.5821100409421074i
2.8,70,3.425,8.194241303,-2.130617944,-4.454348027,-0.7815930560075207+0.037088588097713676i,-0.15035901799869222-0.5796161990423887i
2.8,70,3.43,8.220239811,-2.12381189,-4.466152133,-0.7817510498486208+0.04570367925554025i,-0.1568836997714905-0.5770416175741798i
2.8,70,3.435,8.246465744,-2.11699043,-4.478046411,-0.7818151266633467+0.05433768917153748i,-0.16337756036017603-0.5743860068314849i
2.8,70,3.44,8.272933506,-2.110150572,-4.490036061,-0.7817849594960554+0.06299064785420953i,-0.16984024843253678-0.5716490669060879i
2.8,70,3.445,8.299657751,-2.103289347,-4.502126191,-0.7816601848039828+0.07166257720580191i,-0.1762713773277767-0.5688304896971604i
2.8,70,3.45,8.326653398,-2.096403815,-4.514321815,-0.7814404027359718+0.08035348901135336i,-0.18267052467178294-0.5659299609318501i
2.8,70,3.455,8.353935638,-2.089491055,-4.526627836,-0.7811251775107593+0.08906338294031241i,-0.18903723209934917-0.5629471621910428i
2.8,70,3.46,8.381519954,-2.082548171,-4.539049036,-0.7807140378941028+0.09779224456580544i,-0.1953710050826733-0.559881772934579i
2.8,70,3.465,8.409422131,-2.075572287,-4.551590068,-0.780206477773795+0.10654004340660156i,-0.2016713128651262-0.5567334725202984i
2.8,70,3.47,8.437658282,-2.068560545,-4.56425544,-0.7796019568313187+0.11530673099675799i,-0.2079375884989872-0.5535019422114047i
2.8,70,3.475,8.466244862,-2.061510104,-4.577049508,-0.7788999013086184+0.12409223898785379i,-0.21416922898554552-0.5501868671667778i
2.8,70,3.48,8.495198699,-2.054418136,-4.589976459,-0.7780997048682246+0.13289647728862772i,-0.22036559551567905-0.5467879384089932i
2.8,70,3.485,8.524537008,-2.047281822,-4.603040305,-0.7772007295446934+0.14171933224673056i,-0.2265260138087561-0.543304854765i
2.8,70,3.49,8.554277429,-2.040098353,-4.616244867,-0.7762023067850526+0.1505606648771765i,-0.23264977454744037-0.5397373247745529i
2.8,70,3.495,8.584438052,-2.032864925,-4.629593766,-0.7751037385757559+0.1594203091419485i,-0.23873613390574175-0.5360850685617168i
2.8,70,3.5,8.615037449,-2.025578733,-4.643090407,-0.7739042986533482+0.16829807028505356i,-0.24478431416742005-0.5323478196649426i
2.8,70,3.505,8.64530086,-2.018423966,-4.656923499,-0.7725913898618153+0.1771690261435732i,-0.250767411642467-0.5285238770471512i
2.8,70,3.51,8.675486068,-2.011338084,-4.670655207,-0.7711768922005143+0.18600661157033752i,-0.2566794951956912-0.5246494805913919i
2.8,70,3.515,8.705595649,-2.004319565,-4.684290666,-0.7696615857842202+0.19481052116931774i,-0.26252097814463343-0.520725245495876i
2.8,70,3.52,8.735632881,-1.997366761,-4.697835094,-0.768046231330368+0.20358048190977426i,-0.26829227255696964-0.5167517435931896i
2.8,70,3.525,8.765601733,-1.990477902,-4.711293793,-0.7663315686339752+0.2123162520509319i,-0.27399378692042764-0.5127295038748012i
2.8,70,3.53,8.79550685,-1.983651103,-4.724672155,-0.7645183150888136+0.2210176199905989i,-0.2796259238494644-0.5086590131364227i
2.8,70,3.535,8.825353538,-1.976884375,-4.737975664,-0.7626071642588316+0.22968440303963084i,-0.2851890778352878-0.5045407167419129i
2.8,70,3.54,8.855147747,-1.970175629,-4.751209894,-0.7605987845037687+0.2383164461243632i,-0.2906836330456537-0.5003750195030281i
2.8,70,3.545,8.884896059,-1.963522686,-4.764380515,-0.7584938176628029+0.24691362041936554i,-0.29610996118070093-0.4961622866719494i
2.8,70,3.55,8.914605664,-1.956923281,-4.777493291,-0.7562928777999626+0.2554758219130772i,-0.301468419390888-0.4919028450431562i
2.8,70,3.555,8.944284347,-1.950375074,-4.790554079,-0.7539965500149358+0.26400296990910344i,-0.3067593482628744-0.4875969841608649i
2.8,70,3.56,8.973940469,-1.943875654,-4.803568832,-0.751605389322761+0.2724950054661598i,-0.31198306987895885-0.4832449576279197i
2.8,70,3.565,9.003582945,-1.937422547,-4.816543597,-0.749119919605761+0.2809518897798474i,-0.31713988595541587-0.47884698451170365i
2.8,70,3.57,9.033221233,-1.931013221,-4.829484513,-0.7465406326409082+0.289373602509642i,-0.32223007606479664-0.47440325084233365i
2.8,70,3.575,9.062865307,-1.924645096,-4.842397811,-0.743867987205662+0.2977601400546615i,-0.32725389594696586-0.4699139111981316i
2.8,70,3.58,9.092525642,-1.918315546,-4.855289809,-0.7411024082651276+0.30611151378195994i,-0.33221157591332595-0.4653790903730897i
2.8,70,3.585,9.122213198,-1.912021907,-4.868166913,-0.7382442862432078+0.3144277482112548i,-0.3371033193483534-0.46079888512081885i
2.8,70,3.59,9.151939397,-1.905761483,-4.881035611,-0.7352939763802064+0.3227088791601655i,-0.34192930131222987-0.4561733659692391i
2.8,70,3.595,9.181716112,-1.89953155,-4.893902468,-0.7322517981791532+0.3309549518541751i,-0.3466896672479905-0.4515025791000851i
2.8,70,3.6,9.211555642,-1.893329362,-4.906774126,-0.7291180349428816+0.3391660190056746i,-0.3513845317962501-0.44678654828711845i
2.8,70,3.605,9.241470702,-1.887152157,-4.919657296,-0.725892933403679+0.34734213886656395i,-0.35601397772019144-0.4420252768867995i
2.8,70,3.61,9.271474406,-1.880997161,-4.932558752,-0.7225767034470819+0.35548337325900065i,-0.36057805494311085-0.43721874987503473i
2.8,70,3.615,9.301580254,-1.87486159,-4.945485328,-0.7191695179311609+0.3635897855889847i,-0.3650767797004427-0.4323669359235287i
2.8,70,3.62,9.331802114,-1.868742658,-4.958443908,-0.7156715126023777+0.3716614388475505i,-0.369510133807773-0.42746978950918846i
2.8,70,3.625,9.362154217,-1.862637576,-4.971441421,-0.7120827861088518+0.3796983936044053i,-0.3738780640459735-0.422527253049981i
2.8,70,3.63,9.392651141,-1.856543562,-4.984484837,-0.7084034001116132+0.3877007059989169i,-0.37818048166418716-0.4175392590606242i
2.8,70,3.635,9.423307805,-1.850457837,-4.997581151,-0.7046333794941546+0.3956684257333839i,-0.38241726200099724-0.4125057323214831i
2.8,70,3.64,9.45413946,-1.844377633,-5.010737383,-0.7007727126703366+0.40360159407355944i,-0.3865882442237331-0.40742659205408344i
2.8,70,3.645,9.485161683,-1.838300192,-5.023960564,-0.696821351990418+0.4115002418613933i,-0.3906932311854673-0.402301754096696i
2.8,70,3.65,9.516390376,-1.832222771,-5.03725773,-0.6927792142447367+0.41936438754497773i,-0.3947319893988864-0.39713113307351555i
2.8,70,3.655,9.54784176,-1.826142641,-5.05063591,-0.6886461812642795+0.42719403523063276i,-0.39870424912584507-0.3919146445510717i
2.8,70,3.66,9.579532378,-1.82005709,-5.064102118,-0.6844221006171245+0.43498917276205024i,-0.40260970458104706-0.38665220717561116i
2.8,70,3.665,9.611479094,-1.813963424,-5.077663343,-0.6801067863994665+0.44274976983136627i,-0.40644801424794547-0.3813437447853415i
2.8,70,3.67,9.643699101,-1.807858968,-5.091326537,-0.6757000201196744+0.45047577612694634i,-0.41021880130461674-0.37598918849159685i
2.8,70,3.675,9.676209925,-1.801741065,-5.105098605,-0.6712015516735839+0.4581671195226061i,-0.4139216541570322-0.37058847872314443i
2.8,70,3.68,9.709029436,-1.795607077,-5.118986393,-0.666611100408946+0.4658237043128848i,-0.4175561270768433-0.3651415672280843i
2.8,70,3.685,9.742175857,-1.789454386,-5.13299668,-0.6619283562767425+0.47344540949887115i,-0.4211217409404932-0.35964841902798317i
2.8,70,3.69,9.775667781,-1.783280391,-5.14713616,-0.657152981066802+0.48103208712897244i,-0.4246179840661942-0.3541090143191393i
2.8,70,3.695,9.809524185,-1.777082507,-5.161411439,-0.6522846097249323+0.48858356069885767i,-0.42804431314504476-0.34852335031611376i
2.8,70,3.7,9.843764451,-1.770858168,-5.175829014,-0.6473228517485703+0.49609962361467i,-0.4314001542623108-0.3428914430329308i
2.8,70,3.705,9.878408389,-1.764604818,-5.190395267,-0.6422672926577048+0.5035800377234291i,-0.43468490400468274-0.33721332899762746i
2.8,70,3.71,9.913476261,-1.758319919,-5.20511645,-0.6371174955376464+0.5110245319143625i,-0.4378979306490963-0.3314890668961146i
2.8,70,3.715,9.948988809,-1.752000938,-5.219998674,-0.6318730026500162+0.5184328007947318i,-0.441038575428544-0.3257187391416139i
2.8,70,3.72,9.984967289,-1.745645354,-5.235047894,-0.6265333371081244+0.5258045034434942i,-0.4441061538701056-0.3199024533662322i
2.8,70,3.725,10.0214335,-1.739250649,-5.2502699,-0.6210980046127632+0.5331392622459536i,-0.44709995720032064-0.3140403438315527i
2.8,70,3.73,10.05840983,-1.732814309,-5.2656703,-0.6155664952442564+0.5404366618123183i,-0.4500192538128635-0.30813257275543277i
2.8,70,3.735,10.09591929,-1.726333819,-5.281254512,-0.6099382853064708+0.5476962479828618i,-0.4528632907934153-0.30217933155251875i
2.8,70,3.74,10.13398557,-1.719806659,-5.297027747,-0.60421283921836+0.5549175269221426i,-0.4556312954965113-0.29618084198631395i
2.8,70,3.745,10.17263305,-1.713230304,-5.312994997,-0.5983896114484858+0.5620999643044986i,-0.4583224771691123-0.29013735723094786i
2.8,70,3.75,10.21188692,-1.706602215,-5.329161024,-0.5924680484878679+0.5692429845927806i,-0.46093602861557875-0.28404916284112985i
2.8,70,3.755,10.25094406,-1.700058211,-5.345889689,-0.5864525410800016+0.5763222453703643i,-0.4634426484469606-0.27792059820721593i
2.8,70,3.76,10.28996616,-1.693570163,-5.362496343,-0.5803672006176183+0.5833168836194695i,-0.4658675869754156-0.271793749118042i
2.8,70,3.765,10.32895657,-1.687136813,-5.378987514,-0.5742128383090465+0.5902270936937137i,-0.4682114959973319-0.26566879469762233i
2.8,70,3.77,10.36791957,-1.680756777,-5.395369889,-0.5679902295722159+0.5970530863020662i,-0.4704749969262353-0.259545881500727i
2.8,70,3.775,10.40686039,-1.674428552,-5.411650315,-0.5617001133369104+0.6037950867005065i,-0.47265867925965227-0.25342512556938074i
2.8,70,3.78,10.4457852,-1.66815052,-5.427835799,-0.5553431914299926+0.6104533328445073i,-0.4747630991645931-0.2473066145657656i
2.8,70,3.785,10.48470105,-1.661920961,-5.443933506,-0.5489201280459727+0.61702807350621i,-0.476788778185768-0.24119040997456026i
2.8,70,3.79,10.5236159,-1.655738055,-5.459950768,-0.5424315493050805+0.6235195663603176i,-0.4787362020802398-0.23507654936750344i
2.8,70,3.795,10.56253857,-1.649599892,-5.475895075,-0.5358780429008125+0.6299280760428709i,-0.48060581978173994-0.22896504872275691i
2.8,70,3.8,10.60147874,-1.643504478,-5.491774078,-0.5292601578387209+0.636253872187186i,-0.48239804249744306-0.22285590479146417i
2.8,70,3.805,10.6404469,-1.637449743,-5.507595587,-0.5225784042679797+0.6424972274413646i,-0.4841132429394895-0.21674909750374127i
2.8,70,3.81,10.67945437,-1.631433548,-5.52336757,-0.5158332534070587+0.6486584154718809i,-0.485751754693093-0.21064459240622568i
2.8,70,3.815,10.71851323,-1.625453689,-5.53909815,-0.5090251375645916+0.6547377089578459i,-0.4873138717225568-0.2045423431232085i
2.8,70,3.82,10.75763633,-1.619507906,-5.554795601,-0.502154450256287+0.6607353775806329i,-0.488799848016046-0.19844229383332998i
2.8,70,3.825,10.79683726,-1.613593889,-5.570468342,-0.4952215464184953+0.6666516860136065i,-0.490209897369456-0.19234438175379187i
2.8,70,3.83,10.83613033,-1.607709281,-5.586124939,-0.4882267427187859+0.6724868919167559i,-0.49154419330923155-0.1862485396240411i
2.8,70,3.835,10.87553055,-1.601851689,-5.601774092,-0.4811703179636485+0.6782412439410781i,-0.4928028691534844-0.1801546981809379i
2.8,70,3.84,10.91505358,-1.596018684,-5.617424637,-0.474052513603162+0.6839149797475673i,-0.493986018210287-0.17406278861747942i
2.8,70,3.845,10.95471576,-1.590207812,-5.633085532,-0.466873534332224+0.68950832404569i,-0.49509369411152193-0.16797274501726492i
2.8,70,3.85,10.99453406,-1.584416594,-5.648765856,-0.4596335487876787+0.6950214866562145i,-0.49612591128020717-0.16188450675702565i
2.8,70,3.855,11.03452605,-1.578642532,-5.6644748,-0.45233269034040524+0.7004546606032525i,-0.497082645528746-0.15579802086970654i
2.8,70,3.86,11.07470992,-1.572883115,-5.680221655,-0.4449710579811795+0.7058080202403207i,-0.49796383478511497-0.14971324436078734i
2.8,70,3.865,11.11510444,-1.567135822,-5.696015811,-0.4375487172988645+0.7110817194152012i,-0.4987693799435636-0.14363014647075548i
2.8,70,3.87,11.15572893,-1.561398127,-5.711866739,-0.43006570154921187+0.7162758896782991i,-0.49949914583598626-0.13754871087689358i
2.8,70,3.875,11.19660331,-1.555667501,-5.727783988,-0.42252201281231844+0.721390638539129i,-0.5001529623197399-0.13146893782782648i
2.8,70,3.88,11.237748,-1.549941414,-5.743777173,-0.4149176232365232+0.7264260477754575i,-0.5007306254772936-0.1253908462045714i
2.8,70,3.885,11.279184,-1.544217341,-5.759855963,-0.40725247636628426+0.7313821717995304i,-0.5012318989227591-0.11931447550216094i
2.8,70,3.89,11.32093284,-1.538492765,-5.77603007,-0.3995264885513359+0.7362590360856847i,-0.5016565152100133-0.11323988772625597i
2.8,70,3.895,11.36301657,-1.532765175,-5.792309241,-0.39173955043418923+0.7410566356635128i,-0.5020041773368323-0.10716716919952483i
2.8,70,3.9,11.40545779,-1.527032071,-5.80870324,-0.38389152851282166+0.7457749336805916i,-0.5022745603391654-0.101096432272954i
2.8,70,3.905,11.44827964,-1.521290964,-5.825221842,-0.37598226677517077+0.7504138600386319i,-0.502467312969442-0.09502781693764156i
2.8,70,3.91,11.49150579,-1.515539379,-5.841874816,-0.3680115884018461+0.7549733101067246i,-0.5025820594525864-0.08896149233304743i
2.8,70,3.915,11.53516049,-1.509774855,-5.858671915,-0.3599792975332739+0.7594531435151677i,-0.5026184013132015-0.08289765814807816i
2.8,70,3.92,11.57926855,-1.503994944,-5.875622861,-0.3518851810972975+0.7638531830331712i,-0.502575919267254-0.07683654591182783i
2.8,70,3.925,11.62385536,-1.498197212,-5.892737332,-0.34372901069307726+0.768173213533513i,-0.5024541751714234-0.07077842017122071i
2.8,70,3.93,11.66894692,-1.492379242,-5.910024948,-0.3355105445269804+0.772412981047003i,-0.5022527140232105-0.06472357955324702i
2.8,70,3.935,11.71456988,-1.486538628,-5.92749526,-0.3272295293959796+0.7765721919093933i,-0.5019710660047952-0.05867235770992234i
2.8,70,3.94,11.76075153,-1.480672978,-5.945157731,-0.31888570271395716+0.7806505120031119i,-0.5016087485636143-0.05262512414454396i
2.8,70,3.945,11.80751989,-1.474779911,-5.963021727,-0.3104787945761766+0.7846475660959694i,-0.5011652685225988-0.04658228491825667i
2.8,70,3.95,11.85490367,-1.468857056,-5.981096499,-0.30200852985707355+0.7885629372787345i,-0.5006401242130324-0.04054428323637767i
2.8,70,3.955,11.9029324,-1.462902052,-5.999391172,-0.29347463033642257+0.7923961665031931i,-0.5000328076230344-0.034511599914360015i
2.8,70,3.96,11.95163641,-1.456912541,-6.017914725,-0.28487681684885163+0.7961467522220798i,-0.499342806554737-0.028484753723695324i
2.8,70,3.965,12.00104692,-1.450886173,-6.036675984,-0.27621481145161586+0.7998141501319493i,-0.4985696067833225-0.022464301618470968i
2.8,70,3.97,12.05119609,-1.444820597,-6.055683601,-0.2674883396054807+0.803397773019844i,-0.4977126942112149-0.016450838843697232i
2.8,70,3.975,12.10211708,-1.43871346,-6.074946043,-0.2586971323635366+0.8068969907142841i,-0.4967715570108539-0.01044499892690883i
2.8,70,3.98,12.15384412,-1.432562404,-6.094471577,-0.24984092856274792+0.8103111301408595i,-0.4957456877496591-0.004447453554918951i
2.8,70,3.985,12.20641258,-1.426365066,-6.114268253,-0.24091947701303013+0.8136394754824282i,-0.49463458549097733+0.001541087662037406i
2.8,70,3.99,12.25985907,-1.420119068,-6.134343893,-0.23193253867865837+0.8168812684436381i,-0.49343775786502103+0.007519877536193243i
2.8,70,3.995,12.31422152,-1.413822018,-6.154706074,-0.22287988884685697+0.820035708619207i,-0.49215472310402525+0.013488131755272123i
2.8,70,4,12.36953926,-1.407471504,-6.175362114,-0.21376131927842926+0.8231019539651611i,-0.4907850120361184+0.01944502943943948i
2.8,70,4.005,12.42219806,-1.40147913,-6.195133356,-0.20475053810234295+0.8259942428477037i,-0.48940169268540784+0.025263326465399607i
2.8,70,4.01,12.47506734,-1.395514028,-6.214885218,-0.1957136313478084+0.8287827310058515i,-0.48795367416543256+0.031043898213306033i
2.8,70,4.015,12.52816594,-1.389574051,-6.234629213,-0.1866507930757387+0.831467773087992i,-0.48644102790814064+0.036786864983741216i
2.8,70,4.02,12.58151379,-1.383657006,-6.254377069,-0.1775621847616142+0.8340496994190367i,-0.4848637877456974+0.04249232433420714i
2.8,70,4.025,12.63513182,-1.377760659,-6.274140725,-0.16844793659458004+0.8365288142570912i,-0.4832219517045526+0.048160348820053i
2.8,70,4.03,12.68904197,-1.37188274,-6.293932313,-0.1593081488661625+0.8389053941082009i,-0.4815154839231151+0.05379098385691366i
2.8,70,4.035,12.7432672,-1.366020951,-6.313764153,-0.15014289344600043+0.8411796861039763i,-0.47974431668468925+0.05938424571158605i
2.8,70,4.04,12.79783142,-1.360172966,-6.333648739,-0.14095221534171923+0.8433519064467684i,-0.47790835255691033+0.06494011962766356i
2.8,70,4.045,12.8527595,-1.354336442,-6.353598724,-0.13173613433980064+0.8454222389269321i,-0.47600746662855786+0.0704585580916191i
2.8,70,4.05,12.90807725,-1.348509018,-6.37362691,-0.12249464672405366+0.8473908335165564i,-0.47404150883432+0.07593947924437522i
2.8,70,4.055,12.96381142,-1.342688325,-6.393746236,-0.11322772706802531+0.8492578050438825i,-0.47201030635781105+0.08138276544273045i
2.8,70,4.06,13.01998968,-1.336871983,-6.413969757,-0.10393533009745846+0.8510232319524225i,-0.4699136661029436+0.08678826197433122i
