rot (deg),freq (GHz),S11 (1)
10,3.12244898,-0.007401678797238755-0.9604809869787818*i
10,3.142857143,-0.04485904155205876-0.9550474857109326*i
10,3.163265306,-0.08207006094121251-0.9480318596409809*i
10,3.183673469,-0.11921893317394334-0.9391814138444748*i
10,3.204081633,-0.15652935642687946-0.9280322906639087*i
10,3.224489796,-0.19413759961971963-0.9139979690544391*i
10,3.244897959,-0.23205160742928513-0.896379179630582*i
10,3.265306122,-0.27034567522275105-0.8733776554650144*i
10,3.285714286,-0.3070926274533122-0.8479911620651868*i
10,3.306122449,-0.3422714276629319-0.8199359453235769*i
10,3.326530612,-0.3758045224754461-0.7876757006878814*i
10,3.346938776,-0.40688888356204894-0.7492922958662829*i
10,3.367346939,-0.4336639982517695-0.7027652465648654*i
10,3.387755102,-0.4530090107282438-0.6428355326725594*i
10,3.408163265,-0.4615781026656552-0.5802736085991353*i
10,3.428571429,-0.4590814045011094-0.5195564773685817*i
10,3.448979592,-0.4437328808662858-0.45938175280540927*i
10,3.469387755,-0.4089429106685628-0.4001376159968411*i
10,3.489795918,-0.346388348352359-0.35041301858063173*i
10,3.510204082,-0.26094244009501816-0.3256901549199956*i
10,3.530612245,-0.17811544428377843-0.3349497512599072*i
10,3.551020408,-0.10590057330310451-0.3768443606427349*i
10,3.571428571,-0.054230214874128616-0.4469280518280627*i
10,3.591836735,-0.0359759104159799-0.52365171285309*i
10,3.612244898,-0.04443439794191737-0.5972073515719212*i
10,3.632653061,-0.07380478440565395-0.6647221778824636*i
10,3.653061224,-0.11635955817362717-0.7147715442619373*i
10,3.673469388,-0.1655769276939686-0.7507027039861863*i
10,3.693877551,-0.21853491441451914-0.7764493384590948*i
10,3.714285714,-0.2709338900828254-0.7906157086392067*i
10,3.734693878,-0.32169175242861553-0.7963851465456936*i
10,3.755102041,-0.37116054374999313-0.7963630512825683*i
10,3.775510204,-0.4175952816087201-0.7906452278392111*i
10,3.795918367,-0.46122336796739677-0.7806743838121184*i
10,3.816326531,-0.5028502928505196-0.767584410480671*i
10,3.836734694,-0.5417199408829191-0.7516225962710811*i
10,3.857142857,-0.5781026801116501-0.7333873400774132*i
10,3.87755102,-0.6126819596905299-0.713316021870804*i
10,3.897959184,-0.6452707836836379-0.6915966710564436*i
10,3.918367347,-0.6754548298348277-0.6685707179339913*i
10,3.93877551,-0.7036112465480501-0.644445915023242*i
10,3.959183673,-0.730102062418121-0.6193403374640949*i
10,3.979591837,-0.7552598382087377-0.5932948186950446*i
10,4,-0.779377365387945-0.5662866650741001*i
20,3,0.18288374038745417-0.9547385833333645*i
20,3.020408163,0.1471116070388248-0.958492800373689*i
20,3.040816327,0.11117366115642591-0.9608675829423031*i
20,3.06122449,0.07489366478455398-0.9617464852688834*i
20,3.081632653,0.038100387695268426-0.9609643951321106*i
20,3.102040816,6.371914271231356E-4-0.9583052860143108*i
20,3.12244898,-0.03762734001387762-0.9535017983376642*i
20,3.142857143,-0.07686796906235158-0.9460263131927638*i
20,3.163265306,-0.11580788406111732-0.9367309318347815*i
20,3.183673469,-0.15465962055701576-0.9253186429352954*i
20,3.204081633,-0.19369070166315247-0.9112409443905188*i
20,3.224489796,-0.23306762910315817-0.89378763595606*i
20,3.244897959,-0.27279988470136984-0.8720947394871175*i
20,3.265306122,-0.31303641345686384-0.8442420351524467*i
20,3.285714286,-0.35133101383432846-0.8133453380655907*i
20,3.306122449,-0.3875556766463059-0.7790559278537481*i
20,3.326530612,-0.4215814272407893-0.7396462634028919*i
20,3.346938776,-0.4524190407485363-0.6928782052027801*i
20,3.367346939,-0.4777566772831824-0.6363265239328801*i
20,3.387755102,-0.49392139394583673-0.5655600603879265*i
20,3.408163265,-0.4971643260016448-0.4912100283889126*i
20,3.428571429,-0.4858192386382237-0.41743613411493063*i
20,3.448979592,-0.4564878321760833-0.34452180640469743*i
20,3.469387755,-0.4024198250532647-0.2754727322198606*i
20,3.489795918,-0.31594866493980056-0.22091922848412346*i
20,3.510204082,-0.2041842947202524-0.1992435471728377*i
20,3.530612245,-0.09746269869018905-0.21957305699013424*i
20,3.551020408,-0.006240044900253647-0.27890702851433463*i
20,3.571428571,0.0575637413545425-0.3701182137842763*i
20,3.591836735,0.08133317216184596-0.46818720993883245*i
20,3.612244898,0.07277722934297487-0.561127554545493*i
20,3.632653061,0.03998695956529911-0.6444757804069872*i
20,3.653061224,-0.007831853259713095-0.7078592063224772*i
20,3.673469388,-0.06324177723116234-0.7545132939418044*i
20,3.693877551,-0.12290372215565556-0.7887266943874491*i
20,3.714285714,-0.18181217754268064-0.8096363582607844*i
20,3.734693878,-0.23879530399313567-0.8207565237383604*i
20,3.755102041,-0.2945303597419897-0.8251235613700539*i
20,3.775510204,-0.3471595437197825-0.8230535876827605*i
20,3.795918367,-0.39554662066590807-0.8155790783269584*i
20,3.816326531,-0.4404949152726394-0.8042112157193944*i
20,3.836734694,-0.4829391262223947-0.7899421148497764*i
20,3.857142857,-0.5237928836130972-0.7733275479514661*i
20,3.87755102,-0.5636058031099804-0.7545668673262546*i
20,3.897959184,-0.599825795523517-0.733772373193146*i
20,3.918367347,-0.6333428749288212-0.7115001518935526*i
20,3.93877551,-0.664601945392697-0.6879898687714278*i
20,3.959183673,-0.6940240998554131-0.6633752135843186*i
20,3.979591837,-0.7219906331549951-0.6377006226107559*i
20,4,-0.7488322174370425-0.6109389342887004*i
30,3,0.16708569000719686-0.9551699148065055*i
30,3.020408163,0.13032219211989363-0.9582570565618364*i
30,3.040816327,0.09339000514703864-0.9598776791269156*i
30,3.06122449,0.05609040422639762-0.9599027566387069*i
30,3.081632653,0.01822846929919897-0.9581467727422973*i
30,3.102040816,-0.020375664932109034-0.9543643162626028*i
30,3.12244898,-0.059874079758562626-0.9482487868264985*i
30,3.142857143,-0.10047020539174809-0.9392338489389951*i
30,3.163265306,-0.14072463609397814-0.9282058286411499*i
30,3.183673469,-0.18086968912032417-0.9148341105104227*i
30,3.204081633,-0.2212058674662796-0.898506083025233*i
30,3.224489796,-0.26192273051692655-0.8784152433409965*i
30,3.244897959,-0.3030296978093773-0.85356638054822*i
30,3.265306122,-0.344690368383168-0.8219550169478981*i
30,3.285714286,-0.38411097420550266-0.7867575874383316*i
30,3.306122449,-0.42105981954231475-0.747563729264777*i
30,3.326530612,-0.455329352657851-0.7025031215633009*i
30,3.346938776,-0.4857485207474501-0.6490986983146025*i
30,3.367346939,-0.5096079065372344-0.5846229655363075*i
30,3.387755102,-0.5225696744092455-0.5048297936845608*i
30,3.408163265,-0.5203488035397362-0.420985619065915*i
30,3.428571429,-0.5006639045213854-0.337718240932674*i
30,3.448979592,-0.45947982255518716-0.25625966569798403*i
30,3.469387755,-0.3896149043846221-0.18117754815235165*i
30,3.489795918,-0.2837719301577405-0.12536986582823137*i
30,3.510204082,-0.14595007393826198-0.10936252882257183*i
30,3.530612245,-0.016917792341706556-0.14482210983807922*i
30,3.551020408,0.08033809698613506-0.21965960684800406*i
30,3.571428571,0.14095430913635437-0.3171265319215433*i
30,3.591836735,0.16608523492934998-0.4257788606285939*i
30,3.612244898,0.1572523371078466-0.5372538757303909*i
30,3.632653061,0.118912469609671-0.6391619987102628*i
30,3.653061224,0.06535374444090708-0.7125528291064367*i
30,3.673469388,0.005566529267214862-0.763536252167619*i
30,3.693877551,-0.05568076698771148-0.7984615405313562*i
30,3.714285714,-0.11728354266120422-0.822329474854142*i
30,3.734693878,-0.1797518321935921-0.8381604022441439*i
30,3.755102041,-0.24254924175988124-0.8467937001435314*i
30,3.775510204,-0.29890591202089256-0.8467377182056253*i
30,3.795918367,-0.35066472114715874-0.8409027727844061*i
30,3.816326531,-0.3987163358362259-0.830885404389263*i
30,3.836734694,-0.4440618630463781-0.8177217477415372*i
30,3.857142857,-0.487657276423108-0.8019888267971599*i
30,3.87755102,-0.5300730419300421-0.7839075571489676*i
30,3.897959184,-0.5687144596229663-0.7637035101179265*i
30,3.918367347,-0.6044686494787025-0.7419230328993843*i
30,3.93877551,-0.6378214375288436-0.7188206796236943*i
30,3.959183673,-0.6692281661251082-0.6945361378345031*i
30,3.979591837,-0.6990972440880606-0.6691137505193433*i
30,4,-0.7277794908414438-0.6425226040144751*i
40,3,0.15829288431684455-0.9553461839749499*i
40,3.020408163,0.12095003709534664-0.9580491979324953*i
40,3.040816327,0.08343593540904934-0.9592324542434165*i
40,3.06122449,0.045538934844613084-0.9587592743477821*i
40,3.081632653,0.007050347621583171-0.9564315982999845*i
40,3.102040816,-0.0322232392440011-0.9519857702389298*i
40,3.12244898,-0.07244585420739207-0.9450906083705259*i
40,3.142857143,-0.11383556066643667-0.9351568158697737*i
40,3.163265306,-0.15485818931755882-0.923088460498988*i
40,3.183673469,-0.19575577081968792-0.9085340903335261*i
40,3.204081633,-0.23684567806855877-0.8908415640492519*i
40,3.224489796,-0.27832751844242776-0.8691444590928474*i
40,3.244897959,-0.3202050303333728-0.8423654037620838*i
40,3.265306122,-0.3626347142242469-0.8084447077211834*i
40,3.285714286,-0.4026207216729304-0.7706033105128071*i
40,3.306122449,-0.43985958377594087-0.7283935373534981*i
40,3.326530612,-0.47407482583034444-0.6798609343123952*i
40,3.346938776,-0.5039530331318284-0.6223950377251394*i
40,3.367346939,-0.5264986132740181-0.5531153423604651*i
40,3.387755102,-0.5368942285887829-0.4679404895907834*i
40,3.408163265,-0.5305960996572389-0.3786393058503799*i
40,3.428571429,-0.5050171914066494-0.29023481507604654*i
40,3.448979592,-0.45583078010963346-0.2046698405016502*i
40,3.469387755,-0.3758190488420648-0.12761961597224594*i
40,3.489795918,-0.2583867246929278-0.07341388179266821*i
40,3.510204082,-0.1097134817505456-0.06371912296246898*i
40,3.530612245,0.026633635470012684-0.10841717968517739*i
40,3.551020408,0.12745493394297416-0.1930709292432842*i
40,3.571428571,0.1885691696584254-0.29953410391983054*i
40,3.591836735,0.21210957908283087-0.4155942077802799*i
40,3.612244898,0.20063548806369894-0.5326486218814517*i
40,3.632653061,0.15939170181201476-0.6386576322343102*i
40,3.653061224,0.10310321843498836-0.715270931752506*i
40,3.673469388,0.04086788018872333-0.7688572160294971*i
40,3.693877551,-0.02266369594992253-0.8059173889138918*i
40,3.714285714,-0.08641227146880504-0.8314966077450776*i
40,3.734693878,-0.15085029766626765-0.8486601276072601*i
40,3.755102041,-0.21544214040595638-0.8583610612756861*i
40,3.775510204,-0.27354287835456054-0.8592914473778251*i
40,3.795918367,-0.32690885827445865-0.8543008805489097*i
40,3.816326531,-0.3764635151280285-0.845006550095915*i
40,3.836734694,-0.42322818926212663-0.8324541867191017*i
40,3.857142857,-0.4681684073375117-0.817226350002088*i
40,3.87755102,-0.5118597382279332-0.7995543070923912*i
40,3.897959184,-0.5517163630498569-0.7797178122026481*i
40,3.918367347,-0.5886090832219174-0.7582544848160164*i
40,3.93877551,-0.6230396596523478-0.7354247787513525*i
40,3.959183673,-0.6554763113303449-0.7113709783652173*i
40,3.979591837,-0.686337255079464-0.6861378997595348*i
40,4,-0.7159802673867657-0.6596939564315623*i
50,3,0.1575267632886161-0.9552845062705784*i
50,3.020408163,0.12011131512950726-0.9579354936065234*i
50,3.040816327,0.08252611182593887-0.9590605550257012*i
50,3.06122449,0.04455579910036125-0.9585201474158954*i
50,3.081632653,0.005988040660295358-0.9561119960807318*i
50,3.102040816,-0.03337384585141764-0.9515667308585449*i
50,3.12244898,-0.07369638945112574-0.9445458679336366*i
50,3.142857143,-0.11520496763800153-0.9344436806094532*i
50,3.163265306,-0.15633585349383614-0.9221892748750726*i
50,3.183673469,-0.19733485432018869-0.9074232420717828*i
50,3.204081633,-0.23852404234313596-0.8894765147565808*i
50,3.224489796,-0.28010323368605555-0.8674589680367578*i
50,3.244897959,-0.32206848335765514-0.8402629737272208*i
50,3.265306122,-0.3645707239043564-0.805769735615197*i
50,3.285714286,-0.40454568361036586-0.7672875548966737*i
50,3.306122449,-0.44166832878265444-0.7243663511762332*i
50,3.326530612,-0.4756286128520351-0.675005517490704*i
50,3.346938776,-0.5050281385493576-0.6165325496085269*i
50,3.367346939,-0.52670144303641-0.5460209833862605*i
50,3.387755102,-0.5355609862284846-0.45941659128064266*i
50,3.408163265,-0.527038768798325-0.3689437307610541*i
50,3.428571429,-0.49855568925344484-0.27997011032130964*i
50,3.448979592,-0.4457977809195063-0.19481823998629158*i
50,3.469387755,-0.3617229053007928-0.1197722965210621*i
50,3.489795918,-0.24049149118488497-0.06995001760222647*i
50,3.510204082,-0.09012220005139694-0.0671194355233578*i
50,3.530612245,0.04436756187693673-0.1186543935524053*i
50,3.551020408,0.14075153873372753-0.2081291536585948*i
50,3.571428571,0.19638538817274442-0.3168244198875472*i
50,3.591836735,0.21459394923093214-0.4327903128921805*i
50,3.612244898,0.19869047789664104-0.547994052633928*i
50,3.632653061,0.1544041731613681-0.6511601762370783*i
50,3.653061224,0.09661487383637236-0.7250327955581793*i
50,3.673469388,0.03379369957358123-0.7763350450777003*i
50,3.693877551,-0.02982116108565364-0.8115422472514321*i
50,3.714285714,-0.09336157717969559-0.8355966427787576*i
50,3.734693878,-0.15739527091671293-0.8514828352479833*i
50,3.755102041,-0.22145492386783017-0.8601325913943495*i
50,3.775510204,-0.279050847582958-0.8603141855392887*i
50,3.795918367,-0.33195401767652616-0.8547748306768117*i
50,3.816326531,-0.3810868916519721-0.8450650840660014*i
50,3.836734694,-0.4274578673147444-0.8321865771590159*i
50,3.857142857,-0.4720168580858322-0.8166959678572775*i
50,3.87755102,-0.515331340623549-0.79881277935005*i
50,3.897959184,-0.5548716178395937-0.7788226563699888*i
50,3.918367347,-0.5914908430761953-0.7572444572171901*i
50,3.93877551,-0.6256802556151878-0.7343272607976109*i
50,3.959183673,-0.6578979708230634-0.7102061263270486*i
50,3.979591837,-0.6885532601142246-0.6849219430906869*i
50,4,-0.7179965363711308-0.6584416405585787*i
60,3,0.16631008766761157-0.955157192984964*i
60,3.020408163,0.12950677297321014-0.9581967889037004*i
60,3.040816327,0.092532504088442-0.9597700786462257*i
60,3.06122449,0.05518895682217858-0.9597441379957847*i
60,3.081632653,0.017282090773034105-0.9579298083084806*i
60,3.102040816,-0.021366778162253453-0.9540783333438949*i
60,3.12244898,-0.06090846077003782-0.947880037115941*i
60,3.142857143,-0.10153218958583773-0.9387536506045394*i
60,3.163265306,-0.14182189324873673-0.9276182523470663*i
60,3.183673469,-0.18200711098555397-0.9141347295838246*i
60,3.204081633,-0.2223801108868101-0.897679258045252*i
60,3.224489796,-0.2631200777895968-0.8774361735576334*i
60,3.244897959,-0.3042247932682158-0.8524037982827416*i
60,3.265306122,-0.34581834699728636-0.820558070255935*i
60,3.285714286,-0.38516620997992523-0.7851259208285367*i
60,3.306122449,-0.42204020264998177-0.7456917498809877*i
60,3.326530612,-0.4562009040473782-0.7003683939989511*i
60,3.346938776,-0.48642425965127484-0.6466753002795687*i
60,3.367346939,-0.5099352076903817-0.5819103222673445*i
60,3.387755102,-0.5223778072325664-0.5018792873035242*i
60,3.408163265,-0.5195521842866202-0.4178958182974158*i
60,3.428571429,-0.499201186013979-0.334625213555143*i
60,3.448979592,-0.45730407982859156-0.25337032419434075*i
60,3.469387755,-0.38674638524037513-0.17884581539842148*i
60,3.489795918,-0.2804745638448102-0.124118100327607*i
60,3.510204082,-0.1428804371931018-0.1092937988131409*i
60,3.530612245,-0.014491085055117224-0.1454719393421816*i
60,3.551020408,0.08199167928263094-0.22065090870489337*i
60,3.571428571,0.14192001156579107-0.31808074349000964*i
60,3.591836735,0.16657263551696033-0.4264229522964963*i
60,3.612244898,0.1575093474525141-0.537436411126198*i
60,3.632653061,0.11923853415364943-0.6389022685777359*i
60,3.653061224,0.06591170716695938-0.7121000556868317*i
60,3.673469388,0.006298097812973478-0.7630143846610709*i
60,3.693877551,-0.0548151383719017-0.7979423030689186*i
60,3.714285714,-0.11630154707099988-0.821867356758317*i
60,3.734693878,-0.17866337354823114-0.8378047751918886*i
60,3.755102041,-0.24137156064434-0.8465807398856579*i
60,3.775510204,-0.29769233671314643-0.8466500150536906*i
60,3.795918367,-0.3494525535254336-0.8409160510508633*i
60,3.816326531,-0.3975246970603648-0.8309819481284837*i
60,3.836734694,-0.44289831900865856-0.8178978913704456*i
60,3.857142857,-0.48652537705669296-0.8022569327592615*i
60,3.87755102,-0.5289788690212052-0.7842874901862887*i
60,3.897959184,-0.5676683412447727-0.7641546411505477*i
60,3.918367347,-0.6034744080364194-0.7424304573092002*i
60,3.93877551,-0.636880395036433-0.7193734361683212*i
60,3.959183673,-0.668340720655968-0.6951283567674013*i
60,3.979591837,-0.6982645932294514-0.6697451224635119*i
60,4,-0.7270052711645641-0.6431982471222255*i
70,3,0.1830595173036185-0.9548909968020579*i
70,3.020408163,0.14729745343866535-0.9586537866829339*i
70,3.040816327,0.11135497120694307-0.9610451539041492*i
70,3.06122449,0.0750623003971037-0.9619440482801813*i
70,3.081632653,0.038254156712688475-0.9611823875418474*i
70,3.102040816,7.787218790664735E-4-0.9585428552590407*i
70,3.12244898,-0.03749235559206202-0.9537583046319473*i
70,3.142857143,-0.07670417086025326-0.9463046468336961*i
70,3.163265306,-0.1156509516579002-0.9370357873190288*i
70,3.183673469,-0.1545373310208366-0.9256493043600275*i
70,3.204081633,-0.19361281736039415-0.911595297758627*i
70,3.224489796,-0.2330266483569195-0.8941666497376721*i
70,3.244897959,-0.27277581725533545-0.872505633973616*i
70,3.265306122,-0.3129673517117249-0.8446739663493328*i
70,3.285714286,-0.35127686570814226-0.8138186375624981*i
70,3.306122449,-0.3875926717251596-0.7795697617794641*i
70,3.326530612,-0.4217528344227771-0.740183527744558*i
70,3.346938776,-0.45272179527113526-0.6934388975660128*i
70,3.367346939,-0.47814904340213327-0.6369656853664946*i
70,3.387755102,-0.4943502041762655-0.5659880220666559*i
70,3.408163265,-0.49777941310825363-0.49152751037162873*i
70,3.428571429,-0.48665022583282497-0.4177316211591511*i
70,3.448979592,-0.4575814221484425-0.344721051866691*i
70,3.469387755,-0.40378765601852157-0.27545235028197074*i
70,3.489795918,-0.31761289708852086-0.22061255156036952*i
70,3.510204082,-0.20602031623235814-0.1984180737379972*i
70,3.530612245,-0.09906554184566738-0.21811286967323457*i
70,3.551020408,-0.00735321442456698-0.27696417138053714*i
70,3.571428571,0.05713589826183269-0.3679941950408922*i
70,3.591836735,0.0815046151528602-0.4661207866050865*i
70,3.612244898,0.07340420842788221-0.5592966032204805*i
70,3.632653061,0.040939118218342466-0.643052324079699*i
70,3.653061224,-0.0067349253848227805-0.7067701564341679*i
70,3.673469388,-0.06210713075620708-0.753712138859713*i
70,3.693877551,-0.12175764829906581-0.7882194782062257*i
70,3.714285714,-0.18072009587348362-0.8093333363027544*i
70,3.734693878,-0.23778410009092843-0.8206065761061058*i
70,3.755102041,-0.2935758098502881-0.8251305055886501*i
70,3.775510204,-0.346269984320293-0.8231776849505024*i
70,3.795918367,-0.39475081011343044-0.8157660421865667*i
70,3.816326531,-0.4397942652870704-0.8044275941341101*i
70,3.836734694,-0.4823180138082848-0.7901820537148994*i
70,3.857142857,-0.523231852529643-0.7736134482241208*i
70,3.87755102,-0.5630946015419735-0.7549350938542871*i
70,3.897959184,-0.5993721783970707-0.7341697300308666*i
70,3.918367347,-0.6329471675258936-0.7119087764177796*i
70,3.93877551,-0.6642615428345557-0.6883983711648199*i
70,3.959183673,-0.6937340110465418-0.6637809972655122*i
70,3.979591837,-0.7217449199025315-0.6381111894367749*i
70,4,-0.7486258481777573-0.6113721574727536*i
80,3,0.20388876625043673-0.9542241967623267*i
80,3.020408163,0.1693993364231259-0.9588498852115492*i
80,3.040816327,0.1347221472841844-0.9622057736476233*i
80,3.06122449,0.09972013357864318-0.9641883997643883*i
80,3.081632653,0.06426127745775115-0.9646560735904858*i
80,3.102040816,0.02822526819901804-0.9634275911877991*i
80,3.12244898,-0.008489237746127311-0.9602821984061504*i
80,3.142857143,-0.04598462200979672-0.9547520752926348*i
80,3.163265306,-0.08327952484527042-0.9476238124773773*i
80,3.183673469,-0.12054596622430137-0.9386335814779504*i
80,3.204081633,-0.15798256768361502-0.9273109235234362*i
80,3.224489796,-0.19569935675398664-0.9130656832645206*i
80,3.244897959,-0.2336792100516892-0.8951946098568476*i
80,3.265306122,-0.27190005566239833-0.87186488827231*i
80,3.285714286,-0.30863528070830193-0.8461179764061802*i
80,3.306122449,-0.343863329687851-0.8176246025228782*i
80,3.326530612,-0.3774179892971846-0.7848119305023584*i
80,3.346938776,-0.4083792365312358-0.7457763337341283*i
80,3.367346939,-0.43476175687583046-0.6985807410029686*i
80,3.387755102,-0.45334699110162313-0.6374662380322393*i
80,3.408163265,-0.46059937867226375-0.5737220119550186*i
80,3.428571429,-0.45636647586405055-0.5124974277475822*i
80,3.448979592,-0.4392832286319554-0.45249523949568315*i
80,3.469387755,-0.40264011484942014-0.3938533350526367*i
80,3.489795918,-0.338038809600843-0.3459179028423871*i
80,3.510204082,-0.25127983764333955-0.3241610673947134*i
80,3.530612245,-0.16834373923933116-0.3366350551687726*i
80,3.551020408,-0.09756999415200464-0.38149676852560394*i
80,3.571428571,-0.04853100991276221-0.45342641680753815*i
80,3.591836735,-0.032953454811906965-0.5305651055689328*i
80,3.612244898,-0.043517996168403995-0.6035007709330784*i
80,3.632653061,-0.0742827915187277-0.6701530151826344*i
80,3.653061224,-0.1176821656432931-0.7191124988458181*i
80,3.673469388,-0.16732365275004313-0.7540575027580664*i
80,3.693877551,-0.22031523499166414-0.7789874831811084*i
80,3.714285714,-0.27267260658667497-0.7925223869274075*i
80,3.734693878,-0.3233333211721935-0.7978144165032918*i
80,3.755102041,-0.37259759459158487-0.797443257757977*i
80,3.775510204,-0.4188716415918221-0.7914682164840837*i
80,3.795918367,-0.4623643356978846-0.7813077540009099*i
80,3.816326531,-0.5038287006646478-0.7680906179643547*i
80,3.836734694,-0.5425766242208315-0.7520342516197523*i
80,3.857142857,-0.5788652214402369-0.733727824083468*i
80,3.87755102,-0.6133434033361077-0.713616272513753*i
80,3.897959184,-0.6458483106218568-0.6918723242639113*i
80,3.918367347,-0.6759807532531531-0.6688190346842827*i
80,3.93877551,-0.7041043882667786-0.6446651773577846*i
80,3.959183673,-0.7305674460204994-0.6195355831736636*i
80,3.979591837,-0.7556906043894829-0.5934823906464605*i
80,4,-0.7797581140810734-0.5664972629269402*i
90,3,0.2279149319518359-0.953489824535752*i
90,3.020408163,0.1949202236761832-0.9591288890883762*i
90,3.040816327,0.16173223810198786-0.9636091202177173*i
90,3.06122449,0.12825342660667666-0.9668527325003343*i
90,3.081632653,0.09439090471757552-0.9687546352403782*i
90,3.102040816,0.06006076696322111-0.9691817602334717*i
90,3.12244898,0.025192632891866098-0.9679731941107559*i
90,3.142857143,-0.010259344245085336-0.9647672612927167*i
90,3.163265306,-0.0455893472814294-0.9601858002945621*i
90,3.183673469,-0.0809224667345073-0.9540274605241446*i
90,3.204081633,-0.11639574506289573-0.9459419186095454*i
90,3.224489796,-0.15208010252781531-0.9355010864546277*i
90,3.244897959,-0.18795629408159958-0.922204424244869*i
90,3.265306122,-0.22392619514072862-0.904568188267585*i
90,3.285714286,-0.2588691138616958-0.8851021793786059*i
90,3.306122449,-0.29282976227664037-0.8635421402666034*i
90,3.326530612,-0.32567697653008626-0.8386572453323129*i
90,3.346938776,-0.35672927585246955-0.8090293958966818*i
90,3.367346939,-0.38458519840217686-0.7732669639739687*i
90,3.387755102,-0.40691063605770045-0.7264150900296193*i
90,3.408163265,-0.42132940707619365-0.677579763290772*i
90,3.428571429,-0.42807636147049033-0.6304192158440615*i
90,3.448979592,-0.42585624628005525-0.5833382692497959*i
90,3.469387755,-0.40967746615663764-0.5360267683046125*i
90,3.489795918,-0.37271140336606007-0.4942696610613805*i
90,3.510204082,-0.31730231567606054-0.46919575924180373*i
90,3.530612245,-0.2624056533636866-0.46863776595592815*i
90,3.551020408,-0.21363236737987834-0.49254771130846375*i
90,3.571428571,-0.17823027315052134-0.5389179533051047*i
90,3.591836735,-0.16771296833192248-0.5913010480688132*i
90,3.612244898,-0.1776468585294793-0.6424774733578517*i
90,3.632653061,-0.2037518055155071-0.6901237348452902*i
90,3.653061224,-0.24049989927956283-0.7242139488713258*i
90,3.673469388,-0.28264924653546775-0.7474001568530257*i
90,3.693877551,-0.3277448718957146-0.7630201584427495*i
90,3.714285714,-0.3725585137510678-0.7692673266879257*i
90,3.734693878,-0.4161022190037327-0.7688225567500775*i
90,3.755102041,-0.4585365883740967-0.7638795210903264*i
90,3.775510204,-0.4985630034270898-0.7542812257344322*i
